"webpage_design","discount_framing","conversion_score"
"D1","Low",37.91
"D1","Low",32.5
"D1","Low",38.21
"D1","Low",29.8
"D1","Low",28.96
"D1","Low",46.96
"D1","Low",32.33
"D1","Low",35.19
"D1","Low",36.55
"D1","Low",32.06
"D1","Low",36.07
"D1","Low",35.48
"D1","Low",33.14
"D1","Low",34.26
"D1","Low",33.86
"D1","Low",42.51
"D1","Low",31.03
"D1","Low",29.62
"D1","Low",34.15
"D1","Low",35.24
"D1","Low",35.75
"D1","Low",32.17
"D1","Low",29.75
"D1","Low",39.05
"D1","Low",32.6
"D1","Low",30.54
"D1","Low",33.05
"D1","Low",33.21
"D1","Low",38.44
"D1","Low",34.34
"D1","Low",37.02
"D1","Low",32
"D1","Low",34.86
"D1","Low",32.7
"D1","Low",34.38
"D1","Low",30.42
"D1","Low",28.76
"D1","Low",41.99
"D1","Low",36.4
"D1","Low",28.99
"D1","Low",31.56
"D1","Low",29.26
"D1","High",59.8
"D1","High",56.25
"D1","High",49.94
"D1","High",53.17
"D1","High",49.34
"D1","High",49.1
"D1","High",47.85
"D1","High",48.62
"D1","High",57.6
"D1","High",50.78
"D1","High",51.48
"D1","High",51.97
"D1","High",55.93
"D1","High",48.94
"D1","High",47.03
"D1","High",57.7
"D1","High",49.24
"D1","High",48.11
"D1","High",46.05
"D1","High",45.86
"D1","High",48.7
"D1","High",53.47
"D1","High",55.44
"D1","High",53.83
"D1","High",49.55
"D1","High",51.24
"D1","High",48.18
"D1","High",48.13
"D1","High",54.54
"D1","High",46.94
"D1","High",58.82
"D1","High",50.64
"D1","High",51.86
"D1","High",48.05
"D1","High",48.7
"D1","High",45.73
"D1","High",50.27
"D1","High",52.68
"D1","High",52.3
"D1","High",47.87
"D1","High",47.85
"D1","High",48.99
"D1","High",56.98
"D1","High",46.45
"D1","High",50.28
"D1","High",58.61
"D1","High",50.6
"D1","High",45.56
"D1","High",48.34
"D1","High",52.94
"D1","High",49.5
"D1","High",48.75
"D1","High",49.62
"D1","High",51.36
"D1","High",57.39
"D1","High",50.65
"D1","High",55.32
"D1","High",53.52
"D1","High",50.55
"D1","High",44.87
"D1","High",48.92
"D1","High",49.04
"D1","High",51.19
"D1","High",56.2
"D1","High",60.17
"D1","High",57.19
"D1","High",50.47
"D1","High",43.97
"D1","High",49.44
"D1","High",51.36
"D1","High",54.38
"D1","High",54.85
"D1","High",53.74
"D1","High",45.42
"D1","High",54.4
"D1","High",49.21
"D1","High",51.7
"D1","High",51.3
"D1","High",52.71
"D1","High",51.1
"D1","High",44.33
"D1","High",53.95
"D1","High",52.54
"D1","High",49.94
"D1","High",51.47
"D1","High",51.54
"D1","High",51.88
"D1","High",57.56
"D1","High",50.12
"D1","High",51.67
"D1","High",55.67
"D1","High",55.22
"D1","High",55.58
"D1","High",48.69
"D1","High",59.01
"D1","High",51.27
"D1","High",58.47
"D1","High",45.6
"D1","High",51.08
"D1","High",56
"D1","High",48.14
"D1","High",47.99
"D1","High",47.25
"D1","High",46.79
"D1","High",49.25
"D1","High",52.32
"D1","High",42.94
"D1","High",51.85
"D1","High",55.95
"D1","High",59.15
"D1","High",56.2
"D1","High",54.03
"D1","High",44.09
"D1","High",48.59
"D1","High",49.59
"D1","High",53.81
"D1","High",50.58
"D1","High",45.97
"D1","High",57.74
"D1","High",54.65
"D1","High",51.95
"D1","High",55.87
"D1","High",45.64
"D1","High",53.64
"D1","High",48.91
"D1","High",53.73
"D1","High",50.76
"D1","High",53.53
"D1","High",56.34
"D1","High",51.03
"D1","High",55.07
"D1","High",46.25
"D1","High",48.11
"D1","High",57.08
"D1","High",52.51
"D1","High",42.79
"D1","High",45.54
"D1","High",50.2
"D1","High",54.46
"D1","High",50.59
"D1","High",53.5
"D1","High",54.84
"D1","High",57.68
"D1","High",51.22
"D1","High",50.79
"D1","High",43.99
"D1","High",51.4
"D1","High",48.71
"D1","High",47.1
"D1","High",50.28
"D1","High",55.06
"D1","High",43.03
"D1","High",49.29
"D1","High",51.47
"D1","High",47.43
"D1","High",52.34
"D1","High",52.65
"D1","High",50.87
"D1","High",41.14
"D1","High",61.29
"D1","High",50.18
"D1","High",53.6
"D1","High",52.1
"D1","High",55.1
"D1","High",54.27
"D1","High",50.16
"D1","High",52.51
"D1","High",47.22
"D1","High",54.43
"D1","High",49.16
"D1","High",60.67
"D1","High",44.4
"D1","High",49.14
"D1","High",54.3
"D1","High",53.04
"D1","High",48.64
"D1","High",47.01
"D1","High",51.58
"D1","High",50.94
"D1","High",43.84
"D1","High",51.14
"D1","High",51.76
"D1","High",51.7
"D1","High",46.78
"D1","High",52.9
"D1","High",56.51
"D1","High",52.82
"D1","High",46.46
"D1","High",49.26
"D1","High",52.38
"D1","High",48.41
"D1","High",42.37
"D1","High",54.54
"D1","High",47.68
"D1","High",48.71
"D1","High",57.02
"D1","High",47.9
"D1","High",54.38
"D1","High",45.96
"D1","High",49.58
"D2","Low",47.71
"D2","Low",43.33
"D2","Low",45.46
"D2","Low",47.88
"D2","Low",50.68
"D2","Low",41.4
"D2","Low",46.6
"D2","Low",51.03
"D2","Low",45.84
"D2","Low",48.91
"D2","Low",49.97
"D2","Low",49.07
"D2","Low",50.61
"D2","Low",47.51
"D2","Low",46.35
"D2","Low",37.43
"D2","Low",47.63
"D2","Low",49.72
"D2","Low",50.14
"D2","Low",45.78
"D2","Low",55.12
"D2","Low",49.15
"D2","Low",48.51
"D2","Low",53.09
"D2","Low",45.13
"D2","Low",46.2
"D2","Low",57.59
"D2","Low",48.04
"D2","Low",54.53
"D2","Low",42.25
"D2","Low",47.24
"D2","Low",49.51
"D2","Low",49.2
"D2","Low",43.98
"D2","Low",48.08
"D2","Low",43.69
"D2","Low",50.85
"D2","Low",52.34
"D2","Low",39.1
"D2","Low",52.94
"D2","Low",43.04
"D2","Low",49.82
"D2","Low",50.64
"D2","Low",47.2
"D2","Low",45.42
"D2","Low",48.66
"D2","Low",49.76
"D2","Low",51.53
"D2","Low",39.79
"D2","Low",41.45
"D2","Low",53.72
"D2","Low",52.19
"D2","Low",49.74
"D2","Low",50.86
"D2","Low",51.67
"D2","Low",37.36
"D2","Low",52.44
"D2","Low",46.06
"D2","Low",48.92
"D2","Low",46.82
"D2","Low",51.49
"D2","Low",46.61
"D2","Low",50.07
"D2","Low",46.44
"D2","Low",43.63
"D2","Low",52.84
"D2","Low",50.96
"D2","Low",54.9
"D2","Low",48.26
"D2","Low",52.5
"D2","Low",55.9
"D2","Low",46.87
"D2","Low",42.71
"D2","Low",47.04
"D2","Low",47.14
"D2","Low",48.61
"D2","Low",54.85
"D2","Low",46.7
"D2","Low",49.49
"D2","Low",47.09
"D2","Low",48.08
"D2","Low",49.26
"D2","Low",53.31
"D2","Low",48.49
"D2","Low",50.85
"D2","Low",51.12
"D2","Low",51.66
"D2","Low",45.7
"D2","Low",54.51
"D2","Low",46.48
"D2","Low",47.58
"D2","Low",53.62
"D2","Low",53.18
"D2","Low",43.64
"D2","Low",44.51
"D2","Low",42.57
"D2","Low",48.73
"D2","Low",48.66
"D2","Low",49.46
"D2","Low",50.21
"D2","Low",45.59
"D2","Low",44.03
"D2","Low",52.11
"D2","Low",51
"D2","Low",41.96
"D2","Low",47.62
"D2","Low",44.42
"D2","Low",39.72
"D2","Low",48.6
"D2","Low",47.68
"D2","Low",47.61
"D2","Low",48.86
"D2","Low",51.53
"D2","Low",48.82
"D2","Low",45.53
"D2","Low",45.06
"D2","Low",47.47
"D2","Low",49.24
"D2","Low",43.84
"D2","Low",47.26
"D2","Low",51.87
"D2","Low",47.57
"D2","Low",45.21
"D2","Low",46.9
"D2","Low",52.46
"D2","Low",50.2
"D2","Low",52.95
"D2","Low",48.56
"D2","Low",49.64
"D2","Low",45.77
"D2","Low",50.42
"D2","Low",45.97
"D2","Low",42.32
"D2","Low",48.51
"D2","Low",55.78
"D2","Low",51.2
"D2","Low",52.66
"D2","Low",49.44
"D2","Low",45.57
"D2","Low",47.19
"D2","Low",46.91
"D2","Low",46.13
"D2","Low",50.82
"D2","Low",43.21
"D2","Low",51.47
"D2","Low",51.46
"D2","Low",43.21
"D2","Low",50.56
"D2","Low",57.72
"D2","Low",45.77
"D2","Low",51.38
"D2","Low",44.87
"D2","Low",52.44
"D2","Low",49
"D2","Low",54.61
"D2","Low",42.16
"D2","Low",47.79
"D2","Low",45.89
"D2","Low",47.21
"D2","Low",45.48
"D2","Low",44.66
"D2","Low",50.31
"D2","Low",43.65
"D2","Low",53.94
"D2","Low",43.26
"D2","Low",48.4
"D2","Low",50.13
"D2","Low",50.35
"D2","Low",46.79
"D2","Low",48.32
"D2","Low",51.85
"D2","Low",42.17
"D2","Low",44.87
"D2","Low",49.28
"D2","Low",46.22
"D2","Low",53.48
"D2","Low",50.69
"D2","Low",48.29
"D2","Low",41.97
"D2","Low",48.1
"D2","Low",46.73
"D2","Low",47.59
"D2","Low",43.27
"D2","Low",49.99
"D2","Low",43.84
"D2","Low",47.1
"D2","Low",49.53
"D2","Low",44.87
"D2","Low",50.33
"D2","Low",42.73
"D2","Low",36.76
"D2","Low",49.86
"D2","Low",51.36
"D2","Low",46.86
"D2","Low",50.02
"D2","Low",43.38
"D2","Low",47.49
"D2","Low",40.23
"D2","Low",52.72
"D2","Low",55.44
"D2","High",66.3
"D2","High",61.89
"D2","High",61.87
"D2","High",55.94
"D2","High",65.16
"D2","High",61.16
"D2","High",59.37
"D2","High",56.35
"D2","High",60.8
"D2","High",58.6
"D2","High",60.41
"D2","High",57.13
"D2","High",68.75
"D2","High",61.94
"D2","High",66.3
"D2","High",51.59
"D2","High",60.19
"D2","High",59.3
"D2","High",57.11
"D2","High",68.19
"D2","High",56.34
"D2","High",63.27
"D2","High",65.39
"D2","High",62.71
"D2","High",58.5
"D2","High",65.76
"D2","High",62.68
"D2","High",57.75
"D2","High",56.45
"D2","High",70.35
"D2","High",59.29
"D2","High",54.58
"D2","High",64.13
"D2","High",63.24
"D2","High",56.58
"D2","High",54.23
"D2","High",61.53
"D2","High",66.56
"D2","High",64.54
"D2","High",60.03
"D2","High",58.66
"D2","High",63.08
"D2","High",62.63
"D2","High",64.52
"D2","High",60.42
"D2","High",65.6
"D2","High",58.68
"D2","High",60.68
"D2","High",64.96
"D2","High",65.96
"D2","High",54.25
"D2","High",62.43
"D2","High",64.44
"D2","High",56.2
"D2","High",63.92
"D2","High",58.69
"D2","High",66.08
"D2","High",64.15
"D2","High",65.08
"D2","High",62.48
"D2","High",65.45
"D2","High",67.52
"D2","High",69.86
"D2","High",61.89
"D2","High",53
"D2","High",62.13
"D2","High",62.82
"D2","High",61.38
"D2","High",64.27
"D2","High",66.04
"D2","High",59.93
"D2","High",60.82
"D2","High",63.59
"D2","High",59.8
"D2","High",62.37
"D2","High",54.15
"D2","High",57.52
"D2","High",56.69
"D2","High",58.59
"D2","High",59.23
"D2","High",63.53
"D2","High",65.93
"D2","High",59.09
"D2","High",58.01
"D2","High",57.83
"D2","High",60.34
"D2","High",61.04
"D2","High",63.93
"D2","High",60.71
"D2","High",53.69
"D2","High",61.63
"D2","High",66.75
"D2","High",66.77
"D2","High",58.84
"D2","High",55.81
"D2","High",71.83
"D2","High",61.35
"D2","High",61.61
"D2","High",63.68
"D2","High",55.54
"D2","High",59.09
"D2","High",55.84
"D2","High",59.23
"D2","High",62.48
"D2","High",56.54
"D2","High",64.36
"D2","High",63.16
"D2","High",58.38
"D2","High",62.91
"D2","High",64.99
"D2","High",66.24
"D2","High",61.15
"D2","High",61.63
"D2","High",61.65
"D2","High",67.77
"D2","High",66.5
"D2","High",65.34
"D2","High",60.85
"D2","High",63.49
"D2","High",63.61
"D2","High",57.83
"D2","High",55.09
"D2","High",64.57
"D2","High",55.88
"D2","High",62.01
"D2","High",63
"D2","High",64.26
"D2","High",62.76
"D2","High",59.07
"D2","High",65.95
"D2","High",68.95
"D2","High",65.52
"D2","High",54.23
"D2","High",67.6
"D2","High",61.78
"D2","High",64.1
"D2","High",64.49
"D2","High",61.61
"D2","High",61.7
"D2","High",66.08
"D2","High",64.85
"D2","High",65.96
"D2","High",71.53
"D2","High",64.66
"D2","High",62.83
"D2","High",53.16
"D2","High",72.77
"D2","High",60.07
"D2","High",71.5
"D2","High",63.5
"D2","High",68.15
"D2","High",61.56
"D2","High",64.05
"D2","High",62.86
"D2","High",61.26
"D2","High",61.52
"D2","High",66.05
"D2","High",61.19
"D2","High",53.85
"D2","High",61.22
"D2","High",64.16
"D2","High",64.47
"D2","High",64.47
"D2","High",55.23
"D2","High",63.47
"D2","High",65.87
"D2","High",67.11
"D2","High",61.1
"D2","High",60.71
"D2","High",67.95
"D2","High",55.33
"D2","High",60.25
"D2","High",63.83
"D2","High",55.53
"D2","High",63.12
"D2","High",69.51
"D2","High",61.98
"D2","High",60.89
"D2","High",63.9
"D2","High",60.88
"D2","High",65.25
"D2","High",65.62
"D2","High",62.01
"D2","High",57.29
"D2","High",56.73
"D2","High",59.63
"D2","High",65.19
"D2","High",54.17
"D2","High",54.45
"D2","High",59.38
"D2","High",63.58
"D2","High",58.35
"D2","High",65.55
"D2","High",63.33
"D2","High",61.32
"D2","High",65.28
"D2","High",63.55
"D2","High",60.22
"D2","High",62.92
"D2","High",64.59
"D3","Low",63.43
"D3","Low",59.37
"D3","Low",65.42
"D3","Low",66.61
"D3","Low",63.11
"D3","Low",62.58
"D3","Low",61.7
"D3","Low",70.65
"D3","Low",63.11
"D3","Low",61.37
"D3","Low",51.97
"D3","Low",55.74
"D3","Low",61.69
"D3","Low",62.83
"D3","Low",63.11
"D3","Low",65.29
"D3","Low",61.22
"D3","Low",66.86
"D3","Low",58.31
"D3","Low",57.17
"D3","Low",57.08
"D3","Low",64.97
"D3","Low",61.67
"D3","Low",65.16
"D3","Low",60.93
"D3","Low",59.63
"D3","Low",60.53
"D3","Low",54.59
"D3","Low",57.32
"D3","Low",56.23
"D3","Low",66.22
"D3","Low",59.61
"D3","Low",65.16
"D3","Low",68.07
"D3","Low",61.23
"D3","Low",63.14
"D3","Low",55
"D3","Low",58.73
"D3","Low",62.22
"D3","Low",63.2
"D3","Low",58.96
"D3","Low",72.74
"D3","Low",60.17
"D3","Low",62.26
"D3","Low",64.6
"D3","Low",61.9
"D3","Low",59.43
"D3","Low",66.18
"D3","Low",68.46
"D3","Low",61.88
"D3","Low",64.25
"D3","Low",61.61
"D3","Low",66.07
"D3","Low",57.38
"D3","Low",71.28
"D3","Low",59.59
"D3","Low",56.16
"D3","Low",60.6
"D3","Low",62.59
"D3","Low",68.49
"D3","Low",65.64
"D3","Low",62.57
"D3","Low",56.44
"D3","Low",58.54
"D3","Low",61.35
"D3","Low",72.21
"D3","Low",54.56
"D3","Low",66.52
"D3","Low",59.89
"D3","Low",68.66
"D3","Low",57.44
"D3","Low",62.57
"D3","Low",57.6
"D3","Low",65.61
"D3","Low",67.94
"D3","Low",69.8
"D3","Low",65.19
"D3","Low",69.37
"D3","Low",66.99
"D3","Low",61.47
"D3","Low",63.91
"D3","Low",58.11
"D3","Low",61.26
"D3","Low",66.88
"D3","Low",64.17
"D3","Low",63.83
"D3","Low",57.85
"D3","Low",59.58
"D3","Low",58.94
"D3","Low",63.58
"D3","Low",58.04
"D3","Low",64.25
"D3","Low",57.53
"D3","Low",69.31
"D3","Low",63.84
"D3","Low",59.2
"D3","Low",62.96
"D3","Low",60.59
"D3","Low",63.48
"D3","Low",62.97
"D3","Low",57.94
"D3","Low",58.83
"D3","Low",63.2
"D3","Low",68.56
"D3","Low",66.34
"D3","Low",59.5
"D3","Low",65.3
"D3","Low",61.81
"D3","Low",63.21
"D3","Low",63.04
"D3","Low",72.3
"D3","Low",57.26
"D3","Low",62.4
"D3","Low",54.88
"D3","Low",64.36
"D3","Low",66.39
"D3","Low",67.78
"D3","Low",54.3
"D3","Low",63.65
"D3","Low",68.37
"D3","Low",60.34
"D3","Low",61.15
"D3","Low",61.85
"D3","Low",63.46
"D3","Low",64.66
"D3","Low",67.27
"D3","Low",61.62
"D3","Low",62.79
"D3","Low",71.95
"D3","Low",63.72
"D3","Low",62.76
"D3","Low",56.63
"D3","Low",62.01
"D3","Low",61.11
"D3","Low",61.96
"D3","Low",59.7
"D3","Low",59.25
"D3","Low",59.12
"D3","Low",61.14
"D3","Low",67.47
"D3","Low",66.2
"D3","Low",60.56
"D3","Low",55.26
"D3","Low",58.62
"D3","Low",60.17
"D3","Low",62.41
"D3","Low",59.35
"D3","Low",70.03
"D3","Low",60.91
"D3","Low",57.14
"D3","Low",61.43
"D3","Low",57.98
"D3","Low",62.62
"D3","Low",62.93
"D3","Low",63.42
"D3","Low",55.51
"D3","Low",62.88
"D3","Low",63.24
"D3","Low",56.32
"D3","Low",65.82
"D3","Low",65.14
"D3","Low",71.2
"D3","Low",62.63
"D3","Low",62.19
"D3","Low",62.39
"D3","Low",62.28
"D3","Low",54.61
"D3","Low",55.32
"D3","Low",61.69
"D3","Low",59.68
"D3","Low",62.22
"D3","Low",53.56
"D3","Low",56.01
"D3","Low",57.59
"D3","Low",65.94
"D3","Low",57.61
"D3","Low",58.8
"D3","Low",62.32
"D3","Low",60.71
"D3","Low",62.59
"D3","Low",71.22
"D3","Low",57.5
"D3","Low",60.78
"D3","Low",59.93
"D3","Low",68.05
"D3","Low",58.92
"D3","Low",61.67
"D3","Low",65.15
"D3","Low",57.77
"D3","Low",68.62
"D3","Low",64.7
"D3","Low",57.7
"D3","Low",63.82
"D3","Low",61.15
"D3","Low",63.25
"D3","Low",61.64
"D3","Low",66.28
"D3","Low",56.6
"D3","Low",59.91
"D3","Low",61
"D3","High",50.02
"D3","High",49.84
"D3","High",53.93
"D3","High",53.47
"D3","High",43.8
"D3","High",58.16
"D3","High",55
"D3","High",63.66
"D3","High",56.74
"D3","High",52.21
"D3","High",65.19
"D3","High",65.33
"D3","High",49.13
"D3","High",55.88
"D3","High",53.16
"D3","High",54.75
"D3","High",54.91
"D3","High",48.95
"D3","High",55.14
"D3","High",61
"D3","High",53.34
"D3","High",53.35
"D3","High",59.59
"D3","High",57.59
"D3","High",47.41
"D3","High",54.91
"D3","High",60.61
"D3","High",59.66
"D3","High",55.68
"D3","High",56.88
"D3","High",49.21
"D3","High",55.2
"D3","High",50.18
"D3","High",52.17
"D3","High",57.74
"D3","High",49.45
"D3","High",55.07
"D3","High",55.71
"D3","High",54.22
"D3","High",61.29
"D3","High",49.91
"D3","High",56.42
"D3","High",53.64
"D3","High",52.96
"D3","High",55.86
"D3","High",49.92
"D3","High",48.75
"D3","High",52.02
"D3","High",61.01
"D3","High",54.22
"D3","High",55.33
"D3","High",53.24
"D3","High",55.88
"D3","High",50.19
"D3","High",58.63
"D3","High",56.34
"D3","High",50.77
"D3","High",54.22
"D3","High",56.87
"D3","High",56.23
"D3","High",59.93
"D3","High",51.55
"D3","High",58.46
"D3","High",58.15
"D3","High",53.35
"D3","High",50.1
"D3","High",49.64
"D3","High",55.83
"D3","High",53.72
"D3","High",61.12
"D3","High",56.14
"D3","High",52.51
"D3","High",49.9
"D3","High",51.67
"D3","High",55.37
"D3","High",52.2
"D3","High",56.06
"D3","High",52.66
"D3","High",53.58
"D3","High",51.08
"D3","High",61.62
"D3","High",55.33
"D3","High",54.92
"D3","High",47.23
"D3","High",56.64
"D3","High",49.91
"D3","High",50.43
"D3","High",57.67
"D3","High",52.19
"D3","High",47.01
"D3","High",61.08
"D3","High",44.49
"D3","High",56.29
"D3","High",58.07
"D3","High",51.48
"D3","High",55.78
"D3","High",55.76
"D3","High",58.16
"D3","High",55.94
"D3","High",53.02
"D3","High",57.66
"D3","High",57.2
"D3","High",50.25
"D3","High",48.4
"D3","High",54.64
"D3","High",52.9
"D3","High",50.06
"D3","High",54.34
"D3","High",48.72
"D3","High",54.64
"D3","High",51.5
"D3","High",57.83
"D3","High",63.7
"D3","High",50.34
"D3","High",58.23
"D3","High",57.3
"D3","High",53.72
"D3","High",52.19
"D3","High",60.3
"D3","High",45.98
"D3","High",51.43
"D3","High",48.25
"D3","High",59.58
"D3","High",53.24
"D3","High",51.9
"D3","High",66.74
"D3","High",53.8
"D3","High",52.23
"D3","High",55.2
"D3","High",47.73
"D3","High",55.96
"D3","High",53.62
"D3","High",55.87
"D3","High",50.07
"D3","High",49.91
"D3","High",51.23
"D3","High",50.93
"D3","High",59.2
"D3","High",60.32
"D3","High",53.37
"D3","High",52.56
"D3","High",52.68
"D3","High",54.28
"D3","High",54.39
"D3","High",55.16
"D3","High",51.01
"D3","High",50.61
"D3","High",58.79
"D3","High",51.81
"D3","High",55.21
"D3","High",53.77
"D3","High",50.17
"D3","High",56.36
"D3","High",54.69
"D3","High",59.6
"D3","High",54.47
"D3","High",52.67
"D3","High",55.11
"D3","High",49.26
"D3","High",50.66
"D3","High",56.04
"D3","High",52.67
"D3","High",53.74
"D3","High",53.54
"D3","High",51.4
"D3","High",45.93
"D3","High",55.4
"D3","High",57.05
"D3","High",48.85
"D3","High",59.93
"D3","High",55.54
"D3","High",59.37
"D3","High",50.17
"D3","High",54.67
"D3","High",53.6
"D3","High",57.07
"D3","High",51.7
"D3","High",53.96
"D3","High",46.89
"D3","High",50.89
"D3","High",54.5
"D3","High",51.17
"D3","High",53.83
"D3","High",52.13
"D3","High",56.43
"D3","High",58.67
"D3","High",50.71
"D3","High",52.77
"D3","High",59.76
"D3","High",45.2
"D3","High",52.72
"D3","High",62.26
"D3","High",62.77
"D3","High",54.63
"D3","High",50.55
"D3","High",54.66
"D3","High",51.39
"D3","High",59.81
"D3","High",50.77
"D3","High",55.49
